PerformanceName,AttributeName,Value
Perf_10,bodyPartsCombination,3
Perf_10,musicBPM,159
Perf_10,sameStartEndPositionPlace,0
Perf_10,headMovement,3
Perf_10,armsMovement,3
Perf_10,handsMovement,2
Perf_10,legsMovement,3
Perf_10,feetMovement,2
Perf_11,nMovements,15
Perf_11,movementsDifficulty,3
Perf_11,AItechnique,constraints
Perf_11,robotSpeech,1
Perf_11,acrobaticMovements,1
Perf_11,movementsRepetition,3
Perf_11,musicGenre,Electronic
Perf_11,movementsTransitionsDuration,1
Perf_11,humanMovements,2
Perf_11,balance,1
Perf_11,speed,3
Perf_11,bodyPartsCombination,3
Perf_11,musicBPM,150
Perf_11,sameStartEndPositionPlace,0
Perf_11,headMovement,3
Perf_11,armsMovement,3
Perf_11,handsMovement,2
Perf_11,legsMovement,3
Perf_11,feetMovement,2
Perf_12,nMovements,6
Perf_12,movementsDifficulty,2
Perf_12,AItechnique,constraints
Perf_12,robotSpeech,1
Perf_12,acrobaticMovements,0
Perf_12,movementsRepetition,3
Perf_12,musicGenre,Pop
Perf_12,movementsTransitionsDuration,2
Perf_12,humanMovements,3
Perf_12,balance,3
Perf_12,speed,2
Perf_12,bodyPartsCombination,3
Perf_12,musicBPM,103
Perf_12,sameStartEndPositionPlace,0
Perf_12,headMovement,3
Perf_12,armsMovement,3
Perf_12,handsMovement,2
Perf_12,legsMovement,3
Perf_12,feetMovement,2
Perf_13,nMovements,7
Perf_13,movementsDifficulty,1
Perf_13,AItechnique,constraints
Perf_13,robotSpeech,0
Perf_13,acrobaticMovements,0
Perf_13,movementsRepetition,3
Perf_13,musicGenre,Pop
Perf_13,movementsTransitionsDuration,1
Perf_13,humanMovements,3
Perf_13,balance,3
Perf_13,speed,2
Perf_13,bodyPartsCombination,3
Perf_13,musicBPM,118
Perf_13,sameStartEndPositionPlace,1
Perf_13,headMovement,3
Perf_13,armsMovement,3
Perf_13,handsMovement,2
Perf_13,legsMovement,3
Perf_13,feetMovement,1
